Provincia,Grupo etario,Tasa de mortalidad
Buenos Aires,0-14,0.5803581922704228
Buenos Aires,15-34,0.8490472786777717
Buenos Aires,35-54,2.8092933545044416
Buenos Aires,55-74,17.596123613683822
Buenos Aires,75+,98.85816325955803
Catamarca,0-14,0.5343951380520773
Catamarca,15-34,0.9896580731357316
Catamarca,35-54,2.6975748801827155
Catamarca,55-74,16.93005839045443
Catamarca,75+,98.47198641765705
Chaco,0-14,1.1729904291312172
Chaco,15-34,1.377911265676046
Chaco,35-54,4.081075449600874
Chaco,55-74,23.332974526850332
Chaco,75+,117.67324116059754
Chubut,0-14,0.6567078555846587
Chubut,15-34,0.8859210533601325
Chubut,35-54,2.4648292484996035
Chubut,55-74,15.572871311762777
Chubut,75+,91.60606326119337
Ciudad Autónoma de Buenos Aires,0-14,0.5044838173768581
Ciudad Autónoma de Buenos Aires,15-34,0.5371773379448642
Ciudad Autónoma de Buenos Aires,35-54,2.077308459940532
Ciudad Autónoma de Buenos Aires,55-74,13.224503310183419
Ciudad Autónoma de Buenos Aires,75+,88.07298031492998
Corrientes,0-14,0.9774265901187316
Corrientes,15-34,0.9613827972254393
Corrientes,35-54,2.886236754173319
Corrientes,55-74,17.450758583976576
Corrientes,75+,93.40338587273789
Córdoba,0-14,0.6384746035878553
Córdoba,15-34,0.812713548950753
Córdoba,35-54,2.4343480473913246
Córdoba,55-74,17.219636999988925
Córdoba,75+,106.14863534720784
Entre Ríos,0-14,0.7943947506394877
Entre Ríos,15-34,0.8844414120738887
Entre Ríos,35-54,2.5908730857243443
Entre Ríos,55-74,17.80378486055777
Entre Ríos,75+,103.1832830249209
Formosa,0-14,1.1901258786987086
Formosa,15-34,1.440922190201729
Formosa,35-54,3.9007018491959564
Formosa,55-74,18.877371050146216
Formosa,75+,98.07748609349078
Jujuy,0-14,0.5910290237467019
Jujuy,15-34,1.0906007938648887
Jujuy,35-54,2.882887967117206
Jujuy,55-74,15.329581717736678
Jujuy,75+,85.24768993839835
La Pampa,0-14,0.47526075116888455
La Pampa,15-34,0.7291252390962635
La Pampa,35-54,2.062137679253422
La Pampa,55-74,14.387320970413432
La Pampa,75+,91.01852821103319
La Rioja,0-14,0.8026724270217311
La Rioja,15-34,1.0519464793848763
La Rioja,35-54,2.8061431234297753
La Rioja,55-74,18.38140017030099
La Rioja,75+,100.49743510026427
Mendoza,0-14,0.5346522843072099
Mendoza,15-34,0.7710312543026298
Mendoza,35-54,2.2186585289904714
Mendoza,55-74,15.643582471868996
Mendoza,75+,92.63209393346379
Misiones,0-14,0.8446713847038224
Misiones,15-34,1.1969136726013636
Misiones,35-54,3.2979999867417087
Misiones,55-74,20.20331329682927
Misiones,75+,111.1464293282475
Neuquén,0-14,0.5011463723266973
Neuquén,15-34,0.7731866076887115
Neuquén,35-54,2.106638443113166
Neuquén,55-74,13.954331279449075
Neuquén,75+,84.96380558428129
Río Negro,0-14,0.6189245276149561
Río Negro,15-34,0.945969728968673
Río Negro,35-54,2.4814749297324923
Río Negro,55-74,14.474412055584425
Río Negro,75+,88.67746165340164
Salta,0-14,0.8019555589850715
Salta,15-34,1.1281251903842557
Salta,35-54,2.929946099242314
Salta,55-74,16.004546159012243
Salta,75+,90.52985369711348
San Juan,0-14,0.6718371782838513
San Juan,15-34,0.7815297193037841
San Juan,35-54,2.409758278886046
San Juan,55-74,16.75278938880295
San Juan,75+,96.60294160308665
San Luis,0-14,0.6304961008793761
San Luis,15-34,0.8225292486799268
San Luis,35-54,2.5165817142613407
San Luis,55-74,15.961471481930749
San Luis,75+,93.59251259899209
Santa Cruz,0-14,0.7568266988928358
Santa Cruz,15-34,0.9640787949015064
Santa Cruz,35-54,2.7099982996089103
Santa Cruz,55-74,16.48018648018648
Santa Cruz,75+,93.86606640405178
Santa Fe,0-14,0.7292753094728036
Santa Fe,15-34,1.069522765691224
Santa Fe,35-54,2.693008798950263
Santa Fe,55-74,17.800545874448876
Santa Fe,75+,106.05924429946762
Santiago del Estero,0-14,0.7991525266229301
Santiago del Estero,15-34,1.094673806904043
Santiago del Estero,35-54,3.091340737477731
Santiago del Estero,55-74,17.274923567015158
Santiago del Estero,75+,91.32482611314968
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",0-14,0.37603703964840535
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15-34,0.6397008168487354
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",35-54,1.8089098431636679
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",55-74,12.001398221151979
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",75+,80.4073974805682
Tucumán,0-14,0.8437663339721732
Tucumán,15-34,1.0427528675703859
Tucumán,35-54,2.7015264666256154
Tucumán,55-74,18.612417936850452
Tucumán,75+,100.316074653823
